name,id
Entrepôt,10
Panthéon,5
Hôtel-de-Ville,4
Buttes-Chaumont,19
Observatoire,14
Palais-Bourbon,7
Reuilly,12
Opéra,9
Louvre,1
Popincourt,11
Buttes-Montmartre,18
Ménilmontant,20
Temple,3
Bourse,2
Batignolles-Monceau,17
Passy,16
Gobelins,13
Élysée,8
Vaugirard,15
Luxembourg,6
