first_review_year,AVG(price)
2009,140.0
2010,148.569892473118
2011,200.12676056338
2012,200.95727482679
2013,171.430419037765
2014,184.709455022981
2015,154.494250775689
2016,151.335663049476
2017,150.482146630044
2018,175.719140337987
2019,183.423195648978
2020,234.803335431089
2021,227.135853379152
2022,223.600378631986
2023,207.423199490121
