first_review_year,number_of_listings,cumulative_avg_price_$
2009,8,140.0
2010,101,147.891089108911
2011,385,186.423376623377
2012,1251,196.484412470024
2013,3184,181.274183417085
2014,6230,182.953772070626
2015,11709,169.636689725852
2016,17146,163.833430537735
2017,21879,160.945198592257
2018,27323,163.888848223109
2019,34126,167.783010021684
2020,37304,173.492601329616
2021,41669,179.111953730591
2022,53818,189.154873834033
2023,61663,191.479039294228
