id,host_id_fk,listings_group
TEM0280620068,8991530,Single-listing Hosts
BOU5662432082,53347488,Single-listing Hosts
OPE6244129111,42073764,Single-listing Hosts
MEN4765817705,86979448,Single-listing Hosts
BUT4541046750,27709096,Single-listing Hosts
ENT9836566675,40468578,Single-listing Hosts
OBS2859776017,40442199,Single-listing Hosts
TEM1836207622,7046319,Single-listing Hosts
LOU0381896141,95715842,Single-listing Hosts
PAN2385081465,89929144,2-3 listing Hosts
HOT0665015180,41451633,4-9 listing Hosts
BAT7845508471,84797064,2-3 listing Hosts
ENT9830111617,88595573,Single-listing Hosts
REU5364997085,57798922,2-3 listing Hosts
REU1946001959,61925539,Single-listing Hosts
MEN8940028334,67020224,2-3 listing Hosts
POP7781142911,43482637,Single-listing Hosts
VAU7714116024,75976166,Single-listing Hosts
TEM3111546632,52246020,2-3 listing Hosts
LUX8745208399,94167368,10+ listing Hosts
VAU9772003442,54885762,Single-listing Hosts
PAS6372943988,3226747,Single-listing Hosts
ENT7064596473,20591832,Single-listing Hosts
BUT3388684739,13218324,Single-listing Hosts
LOU6726847417,64618376,Single-listing Hosts
LUX4449042389,41451633,4-9 listing Hosts
ELY8342313119,37515783,2-3 listing Hosts
GOB9046955210,50983680,Single-listing Hosts
POP9378344101,37627861,Single-listing Hosts
ENT9230624238,47319481,Single-listing Hosts
PAN1948989082,94394642,10+ listing Hosts
PAS6303479721,37515783,2-3 listing Hosts
BOU9694556868,28140148,2-3 listing Hosts
REU5405749005,98937511,Single-listing Hosts
OBS9233183085,91706931,2-3 listing Hosts
HOT8194986272,77868148,Single-listing Hosts
POP6475112983,36496287,Single-listing Hosts
BUT3068207183,81895001,Single-listing Hosts
POP1959068313,16975702,Single-listing Hosts
ENT2689942077,51978913,Single-listing Hosts
POP2261678303,2224416,Single-listing Hosts
OPE6776332261,59451240,2-3 listing Hosts
BAT4226401367,89039445,Single-listing Hosts
ENT5284322379,23814041,Single-listing Hosts
TEM7402930960,77590802,Single-listing Hosts
GOB0261257219,80247007,Single-listing Hosts
BUT6336484222,66929093,Single-listing Hosts
POP2119298952,7484746,Single-listing Hosts
BUT2363383039,1798727,Single-listing Hosts
TEM4987406682,46262245,Single-listing Hosts
BUT2877770049,59697643,Single-listing Hosts
HOT6744167080,1974948,Single-listing Hosts
ELY5702718299,2628024,2-3 listing Hosts
MEN8556693940,9108824,4-9 listing Hosts
BOU1033887656,57480113,2-3 listing Hosts
POP9215916263,9108824,4-9 listing Hosts
LUX6939410207,30999151,Single-listing Hosts
PAN3432983269,8001638,Single-listing Hosts
PAN2967957432,89929144,2-3 listing Hosts
BUT7442944117,93700694,Single-listing Hosts
BAT4988888081,68708552,2-3 listing Hosts
REU5032893313,38552377,2-3 listing Hosts
LOU3524013101,99727630,Single-listing Hosts
VAU9817725265,85821066,Single-listing Hosts
BUT2790931793,83236684,2-3 listing Hosts
MEN6846165737,95398063,Single-listing Hosts
VAU0188200880,86042859,2-3 listing Hosts
MEN7891184126,88714922,Single-listing Hosts
BUT5974598195,20287876,2-3 listing Hosts
BUT9608634708,27487859,Single-listing Hosts
PAL1540621686,54633302,2-3 listing Hosts
PAN4187641848,93775902,2-3 listing Hosts
POP4021213766,48424835,Single-listing Hosts
BUT8963677366,61662897,Single-listing Hosts
ENT1307542602,67007317,Single-listing Hosts
GOB2922358882,23782116,Single-listing Hosts
POP7172914010,32679539,Single-listing Hosts
POP1807491062,24743270,Single-listing Hosts
LOU9048781964,3465635,Single-listing Hosts
VAU2869970527,54149895,Single-listing Hosts
VAU9636905686,46153458,2-3 listing Hosts
HOT2166404256,99528297,Single-listing Hosts
ENT1290726823,71528637,Single-listing Hosts
BUT3339091130,305150,Single-listing Hosts
OPE8459709514,24306742,Single-listing Hosts
ELY7675344556,45253887,2-3 listing Hosts
TEM8058611501,21019661,2-3 listing Hosts
LOU9024885747,2663264,Single-listing Hosts
LOU0294345029,76973168,Single-listing Hosts
POP4715500492,21827741,Single-listing Hosts
